pota,jaff,name,location,locid,type,level,namek,lat,lng
JA-1509,,Hattori Ryokuchi,Osaka,JP-OS,Provincial Park,0,服部緑地,34.776272,135.486788
JA-1506,,Tamba,Kyoto,JP-KY,Provincial Park,0,京都府立丹波自然運動公園,35.165375,135.416032
JA-1501,,Yamashiro Sogo Undo,Kyoto,JP-KY,Provincial Park,0,京都府立山城総合運動公園,34.872609,135.802469
JA-1827,,Keihinjima Greenway,Tokyo,JP-TK,Provincial Park,0,京浜島緑道公園,35.56521387,139.765488
JA-1818,,Keihinjima Port Park,Tokyo,JP-TK,Provincial Park,0,京浜島ふ頭公園,35.57181069,139.7603299
JA-1821,,Keihinjima Tsubasa Park,Tokyo,JP-TK,Provincial Park,0,京浜島つばさ公園,35.57006917,139.7697649
JA-1823,,Keihin Canalside Greenway,Tokyo,JP-TK,Provincial Park,0,京浜運河緑道公園,35.59723504,139.7489227
JA-1201,,Tateyama Sports,Chiba,JP-CH,Provincial Park,0,館山運動公園,34.961054,139.852742
JA-1343,,Iida Undo,Nagano,JP-NN,Provincial Park,0,飯田運動公園,35.485691,137.799657
JA-1252,,Meiji,Tokyo,JP-TK,Provincial Park,0,都立明治公園,35.676195,139.713593
JA-1832,,Habushiura Park,Tokyo,JP-TK,Provincial Park,0,羽伏浦公園,34.37819298,139.272906
JA-1169,,Hanyu Suigo,Saitama,JP-ST,Provincial Park,0,羽生水郷公園,36.171581,139.595344
JA-1190,,Hagoromo,Chiba,JP-CH,Provincial Park,0,羽衣公園,35.603741,140.122821
JA-1871,,Showa-no-mori,Fukushima,JP-FS,Provincial Park,0,福島県昭和の森,37.575202,140.069788
JA-1101,,Fukushima Airport,Fukushima,JP-FS,Provincial Park,0,福島空港公園,37.24671,140.419698
JA-1410,,Fukui Toshi Ryokka Shokubut,Fukui,JP-FI,Provincial Park,0,福井都市緑化植物園,36.106086,136.304778
JA-1415,,Fukui Sogo,Fukui,JP-FI,Provincial Park,0,福井総合公園,36.189636,136.13306
JA-1417,,Fukui Joshi,Fukui,JP-FI,Provincial Park,0,福井城址公園,36.06553,136.220919
JA-1407,,Fukui Shonen Undo,Fukui,JP-FI,Provincial Park,0,福井少年運動公園,36.052045,136.186839
JA-1309,,Hadano Tokawa,Kanagawa,JP-KN,Provincial Park,0,神奈川県立秦野戸川公園,35.402999,139.17304
JA-1317,,Mitsuike,Kanagawa,JP-KN,Provincial Park,0,神奈川県立三ツ池公園,35.522563,139.660935
JA-1310,,Chigasaki Satoyama,Kanagawa,JP-KN,Provincial Park,0,神奈川県立茅ケ崎里山公園,35.373072,139.418256
JA-1308,,Aikawa,Kanagawa,JP-KN,Provincial Park,0,神奈川県立あいかわ公園,35.542174,139.256338
JA-1643,,Kamiyama Shinrin,Tokushima,JP-TS,Provincial Park,0,神山森林公園,34.022469,134.422673
JA-1303,,Tsukayama,Kanagawa,JP-KN,Provincial Park,0,塚山公園,35.280009,139.641396
JA-1516,,Tonboike,Osaka,JP-OS,Provincial Park,0,蜻蛉池公園,34.430056,135.425521
JA-1257,,Roka Koshunen,Tokyo,JP-TK,Provincial Park,0,蘆花恒春園,35.661693,139.612643
JA-1872,,Chirahama Bosai Ryokuchi,Fukushima,JP-FS,Provincial Park,0,埓浜防災緑地,37.887108,140.931522
JA-1115,,Kairakuen,Ibaraki,JP-IB,Provincial Park,0,偕楽園,36.372509,140.45218
JA-1258,,Wadabori,Tokyo,JP-TK,Provincial Park,0,和田堀公園,35.684486,139.64081
JA-1165,,Wako Jurin,Saitama,JP-ST,Provincial Park,0,和光樹林公園,35.777278,139.598604
JA-1580,,Waka,Wakayama,JP-WK,Provincial Park,0,和歌公園,34.181286,135.17363
JA-1287,,Rokusen,Tokyo,JP-TK,Provincial Park,0,六仙公園,35.750268,139.522748
JA-1218,,Rikugi-en Gardens,Tokyo,JP-TK,Provincial Park,0,六義園,35.733214,139.745837
JA-1199,,Hasunuma Seaside,Chiba,JP-CH,Provincial Park,0,蓮沼海浜公園,35.588652,140.501949
JA-1477,,Suzuka Seishonen no Mori,Mie,JP-ME,Provincial Park,0,鈴鹿青少年の森,34.853332,136.538894
JA-1408,,Rinkai Chuo,Fukui,JP-FI,Provincial Park,0,臨海中央公園,36.167752,136.111752
JA-1256,,Rinshinomori,Tokyo,JP-TK,Provincial Park,0,林試の森公園,35.624866,139.702988
JA-1286,,Ryonan,Tokyo,JP-TK,Provincial Park,0,陵南公園,35.648851,139.288257
JA-1496,,Arashiyama Higashi,Kyoto,JP-KY,Provincial Park,0,嵐山東公園,35.009943,135.686442
JA-1495,,Arashiyama,Kyoto,JP-KY,Provincial Park,0,嵐山公園,35.014618,135.671336
JA-1499,,Rakusai Joka Center,Kyoto,JP-KY,Provincial Park,0,洛西浄化センター公園,34.907858,135.70756
JA-0210,,Yodogawa Riverside,Kyoto,JP-KY,National Recreati,0,淀川河川公園,34.744574,135.557613
JA-0210,,Yodogawa Riverside,Osaka,JP-OS,National Recreati,0,淀川河川公園,34.744574,135.557613
JA-1433,,Yoro,Gifu,JP-GF,Provincial Park,0,養老公園,35.282326,136.549454
JA-1295,,Hayama,Kanagawa,JP-KN,Provincial Park,0,葉山公園,35.25832,139.579789
JA-1866,,Yugaku-no-mori,Yamagata,JP-YT,Provincial Park,0,遊学の森,38.912691,140.375909
JA-1801,,Ariake Kita Greenway,Tokyo,JP-TK,Provincial Park,0,有明北緑道公園,35.63777813,139.7795739
